Name,Content Set,Type,Solutions,Description
Comply - Metrics Vulnerability Counts,Comply Reporting,Sensor,Tanium Comply,[DEPRECATED] Count the number of vulnerabilities by CVSS v2 severity.
Comply - NMap Scan Results,Comply Reporting,Sensor,Tanium Comply,Returns the Discover NMap scan results for reporting in Comply report scan reports.
Comply - Open Ports,Comply Reporting,Sensor,Tanium Comply,"Identifies the listening TCP ports, including the process listening to the port, the display name of the process (if available), and the listening IP Address and port. The Sensor definition can be modified to exclude process and IP range."
Comply - Open Ports Full,Comply Reporting,Sensor,Tanium Comply,"[DEPRECATED] Identifies the listening TCP ports, including the process listening to the port, the display name of the process (if available), and the listening IP Address and port. The Sensor definition can be modified to exclude process and IP range."
Comply - Oval Findings,Comply Reporting,Sensor,Tanium Comply,This sensor will return the unique oval definitions from the found vulnerabilities present on an endpoint.
Comply - Report Age,Comply Reporting,Sensor,Tanium Comply,"This sensor will return for each report the following: Scan Engine, Report Hash, and Report Age."
Comply - Report Hashes,Comply Reporting,Sensor,Tanium Comply,Find all report hash occurrences on an endpoint.
Comply - Report Results Older Than,Comply Reporting,Sensor,Tanium Comply,Will return true if the results for a Comply report having the specified scan engine and report hash are either non-existent or older than the number of seconds specified.
Comply - Report Runtimes,Comply Reporting,Sensor,Tanium Comply,Find the runtimes of each report in seconds.
Comply - Scan Error Details,Comply Reporting,Sensor,Tanium Comply,Get detailed scan error information.
Comply - Vulnerability Aggregates,Comply Reporting,Sensor,Tanium Comply,[DEPRECATED] A sensor that aggregates vulnerability result data from scans; severity categories are based on CVSS v2 scores.
Comply - Vulnerability Discovery Dates,Comply Reporting,Sensor,Tanium Comply,Returns the first found/last found dates of vulnerabilities.
Comply - Vulnerability Findings Aggregate,Comply Reporting,Sensor,Tanium Comply,"[DEPRECATED] Returns the most severe Vulnerability level reported (CVSS v2 severities: High, Medium, Low, Unscored, No Vulnerabilities)"
Comply - Vulnerability Findings Details,Comply,Virtual Sensor,Comply,
Comply - Vulnerability Results,Comply Reporting,Sensor,Tanium Comply,Returns OVAL definition IDs for vulnerabilities found on endpoint.
Comply - Vulnerability Results - Export,Comply Reporting,Sensor,Tanium Comply,Returns OVAL definition IDs and first found/last found dates for vulnerabilities found on endpoint.
Comply - Vulnerability Status,Comply,Sensor,Tanium Comply,Returns the vulnerability status (all present CVEs) for an endpoint.
Computer Groups,Tanium Data Service,Virtual Sensor,Tanium Data Service,
Computer ID,Reserved,Sensor,Tanium Default Content,A unique identifier of each computer for internal use.
Example: 4202979704,,,,
Computer Name,Reserved,Sensor,Tanium Default Content,The assigned name of the client machine.
Example: workstation-1.company.com,,,,
Computer Serial Number,Core Content,Sensor,Tanium Core Content,"The serial number, if available, provided by the computer manufacturer."
Example: 123ABC1,,,,
Configuration Profiles,Core Content,Sensor,Tanium Core Content,Return all configured profiles for Mac endpoints.
Configured Auditd Rules,Core Content,Sensor,Tanium Core Content,"This sensor validates the presence of auditd, then displays configured audit rules from /etc/audit/audit.rules. If no rules are found, it returns ""No rules""."
,,,,
Example: -w /usr/bin/passwd -p x -k identity,,,,
Connections Exclude List Days Old,Incident Response,Sensor,Tanium Threat Response,"Returns the age, in days, of the excluded-processes.dat and excluded-subnets.dat files that are currently deployed."
Example: 3,,,,
Container Host Operating System,Containers,Sensor,Tanium Containers,Returns the Operating System Generation of a mangaged container host.
Container Image,Containers,Sensor,Tanium Containers,Returns information about the images used to instantiate running containers.
Container Image Name,Containers,Sensor,Tanium Containers,Returns the names of images used to instantiate running containers.
Container Labels,Containers,Sensor,Tanium Containers,Returns labels defined for running containers.
Container Name with Image Hash,Containers,Sensor,Tanium Containers,"Returns the names and hashes of Images (not containers, but the template used to instantiate the container)."
Container Network,Containers,Sensor,Tanium Containers,Returns network details for running containers.
Container PID Count,Containers,Sensor,Tanium Containers,Returns the number of Process IDs (PIDs) for running containers.
Container Running Processes,Containers,Sensor,Tanium Containers,Returns process details for running containers.
Container Runtime,Containers,Sensor,Tanium Containers,"Provides detail regarding the executor of the containers, the ""Container Runtime""."
Container Stats,Containers,Sensor,Tanium Containers,Provides runtime resource utilization statistics for running containers.
Container Uptime,Containers,Sensor,Tanium Containers,Provides information regarding the age of running containers.
Country Code,Base,Sensor,Tanium Default Content,Shows the currently specified country code used by the operating system.
Example: 1 (United States),,,,
CPU,Core Content,Sensor,Tanium Core Content,Description of the CPU.
Example: Intel(R) Core(TM) i5-2500 CPU @ 3.30GHz,,,,
CPU Architecture,Core Content,Sensor,"Tanium Core Content, Tanium Endpoint Configuration",Describes the architecture of the CPU/processor.
"Example: i386, X86-based PC",,,,
CPU by Process,Core Content,Sensor,Tanium Core Content,A multi-column sensor that lists every running process and the amount of CPU usage they are taking up.
Example: svchost | 15,,,,
CPU Cache Size,Core Content,Sensor,Tanium Core Content,CPU cache size in KB.
Example: 1024 KB,,,,
CPU Consumption,Core Content,Sensor,Tanium Core Content,Current total CPU consumption in %.
Example: 50%,,,,
CPU Details,Core Content,Sensor,Tanium Core Content,"A multi-column sensor that provides CPU details: system type, CPU description, speed, # of processors, # of cores, and # of logical processors."
Example: x64-based PC | Intel(R) Xeon(R) CPU X3430 | 2390 Mhz | 1 | 4 | 4,,,,
CPU Family,Core Content,Sensor,"Tanium Core Content, Tanium Endpoint Configuration",The family of the processor or CPU (Windows provides a family ID).
"Example: Xeon, Family 198",,,,
CPU Manufacturer,Core Content,Sensor,Tanium Core Content,The manufacturer of the CPU.
Example: GenuineIntel,,,,
CPU Speed Mhz,Core Content,Sensor,Tanium Core Content,The speed of the processor in Mhz.
Example: 3200 Mhz,,,,
CredGuard Status,Default,Sensor,Tanium Benchmark,A sensor to determine if an endpoint is actively running CredGuard or is configured to run CredGuard. Requires Windows 10 or Server 2016.
Custom Tag Exists,Core Content,Sensor,Tanium Core Content,"Checks to see if a given custom tag exists on the endpoint. The input can either be a substring or an exact match, and the check is case insensitive."
Example: True,,,,
Custom Tags,Core Content,Sensor,Tanium Core Content,Any specified custom tags that have been set for this machine. See the Custom Tagging Dashboard.
"Example: Development, Test-Machines",,,,
CVE-2023-36884 Findings,Default,Sensor,Tanium Emerging Issues Content,
CVE-2024-6387 OpenSSH Status,Default,Sensor,Tanium Emerging Issues Content,Determines CVE-2024-6387 applicability status and OpenSSH installed version for Linux endpoints
Data Execution Prevention Enabled,Core Content,Sensor,Tanium Core Content,"Whether data execution prevention is enabled. If disabled, code can be executed from a non-executable memory region."
"Example: True, False, Unknown",,,,
Default Login Domain,Core Content,Sensor,Tanium Core Content,Name of the domain of the most recently logged in user.
Example: CORP,,,,
Default Login UserID,Core Content,Sensor,Tanium Core Content,"Last user name entered in the ""Log On to Windows"" dialog box."
Example: tanium_admin,,,,
Default Web Browser,Core Content,Sensor,Tanium Core Content,Default web browser for new users. Note that this can be changed per user.
Example: Internet Explorer,,,,
DEP Enrollment Status,Core Content,Sensor,Tanium Core Content,"Return Enrolled, Not Enrolled or Unknown if a Mac device was enrolled via DEP (i.e Device Enrollment Program)."
Deploy - All Deployment Activities,Deploy Content Set,Sensor,Tanium Deploy,Return details of the activities performed as part of the deployment for all deployments
Deploy - All Deployments Errors,Deploy Content Set,Sensor,Tanium Deploy,Return the deployment errors for all deployments
Deploy - Applicability Scan Age,Deploy Content Set,Sensor,Tanium Deploy,Get the age of the Deploy software package applicability scan
Deploy - Coverage Status,Deploy Content Set,Sensor,Tanium Deploy,"Returns Optimal, Needs Attention, or Unsupported for whether the system has had any recent scans."
Deploy - Coverage Status Details,Deploy Content Set,Sensor,Tanium Deploy,"Returns ""Optimal"" if Deploy is installed and running, ""Needs Attention"" if Deploy is not installed or is not healthy, ""Unsupported"" if the operating system is not supported, and ""Initializing"" if the system is in the process of installing tools or running the first scan. Provides additional details for systems that have a ""Needs Attention"" status to help administrators resolve client health issues."
Deploy - Deployment Activities,Deploy Content Set,Sensor,Tanium Deploy,Return details of the activities performed as part of the deployment for deployment with the specified ID
Deploy - Deployment Command Errors,Deploy Content Set,Sensor,Tanium Deploy,Return the command errors of all deployments
Deploy - Deployment Details,Deploy Content Set,Sensor,Tanium Deploy,Return the deployment status details for deployment with the specified ID
Deploy - Deployments,Deploy Content Set,Sensor,Tanium Deploy,Return the status of all deployments
Deploy - Deployments Errors,Deploy Content Set,Sensor,Tanium Deploy,Return the deployment errors for deployments with IDs within the specified bounds
Deploy - Deployments Persistent Status,Deploy Content Set,Sensor,Tanium Deploy,"Return the success or failure status of all deployments. A failed deployment will have Failed status during retries, until success."
Deploy - Deployments Statuses,Deploy Content Set,Sensor,Tanium Deploy,Return the deployment statuses for deployments with IDs within the specified bounds
Deploy - Download Status Details,Deploy Content Set,Sensor,Tanium Deploy,Shows download status of all active deployments and any completed deployments of the last about 3 days. Older completed downloads are not returned. This also adds the hash of said file and DeploymentID from Deploy - Download Status and is a slower running sensor.
Deploy - Enforcement Status,Deploy Content Set,Sensor,Tanium Deploy,Returns the enforcement status for enforcements defined in the Deploy Workbench
Example:,,,,
Type|ID|Status|Reason,,,,
MaintenanceWindow|1|Enforced|,,,,
MaintenanceWindow|2|Unenforced|Maintenance window configuration not found,,,,
Deploy - Gallery Compliance by Age,Deploy Content Set,Sensor,Tanium Deploy,Determine if any Gallery packages older than 30 days are applicable
Deploy - Has Enforced Maintenance Window,Deploy Content Set,Sensor,Tanium Deploy,Returns True if there is at least one enforced Deploy maintenance window and False otherwise
Deploy - Has Recent Scan Results,Deploy Content Set,Sensor,Tanium Deploy,Returns a Yes/No answer for the question of whether the system has Deploy software catalog scan results within the specified Scan Age Days.
Deploy - Installed Software Packages,Deploy Content Set,Sensor,Tanium Deploy,"This sensor returns all applications from the Software Catalog which are considered Installed, Update Eligible, or Update Ineligible from Install verification rules. This is great for taking this data to Asset for offline reporting."
Deploy - Is AEM Degradations Configuration Registered,Deploy Content Set,Sensor,Tanium Deploy,Check if the Is AEM Degradations configuration registered with ECF
Deploy - Is Process Running,Deploy Content Set,Sensor,Tanium Deploy,Check if the deploy process is running
Deploy - Is Supported,Deploy Content Set,Sensor,Tanium Deploy,"Returns True or False based on whether the endpoint meets the operating system and Tanium Client version requirements to install Deploy Tools. For more information on requirements, see https://docs.tanium.com/deploy/deploy/requirements.html#endpoints"
Deploy - Maintenance Window Enforcements,Deploy Content Set,Sensor,Tanium Deploy,Returns the enforcement status for Maintenance Windows
,,,,
Example:,,,,
ID|Status|Reason|EditID,,,,
1|Enforced||1,,,,
Deploy - Maintenance Windows,Deploy Content Set,Sensor,Tanium Deploy,This sensor will return the Maintenance Windows deployed and applied on an endpoint for Deploy.
Deploy - Mean Time to Deploy,Deploy Content Set,Sensor,Tanium Deploy,Determine the average number of days for a package update to be installed.
Deploy - Next Maintenance Window,Deploy Content Set,Sensor,Tanium Deploy,"This sensor will show you the current endpoint state and whether or not it is in a maintenance window, or if none can be found. It will also show the next available window to that endpoint."
Deploy - Scan Errors,Deploy Content Set,Sensor,Tanium Deploy,Return any scan errors that are present on the endpoint.
Deploy - Self Service Activity,Deploy Content Set,Sensor,Tanium Deploy,Return the self service activity for software packages and bundles
Deploy - Self Service Activity By User,Deploy Content Set,Sensor,Tanium Deploy,Return the self service activity by user for software packages and bundles
Deploy - Self Service Profiles,Deploy Content Set,Sensor,Tanium Deploy,Return the Self Service Profiles deployed to an endpoint
Deploy - Settings Version,Deploy Content Set,Sensor,Tanium Deploy,Returns the version of settings or Not Found
Deploy - Software Installed By Tanium,Deploy Content Set,Sensor,Tanium Deploy,"Show the software that has been installed, updated, or removed over the given time period."
,,,,
Example:,,,,
Software Package ID|Software Package Name|Software Package Vendor|Software Package Version|Software Package Platform|Operation|Source,,,,
1|Chrome x64|Google|83.0.4103.61|windows|install|Self-Service,,,,
1|7-Zip x64|Igor Pavlov|19.00.00.0|windows|update|Standard Deployment,,,,
Deploy - Software Package Catalog Version,Deploy Content Set,Sensor,Tanium Deploy,Returns the version of the software package catalog or Not Found
Deploy - Software Packages,Deploy Content Set,Sensor,Tanium Deploy,"Get the ID, vendor, name, version, and applicability of software packages in the Deploy catalog and gallery"
Deploy - Software Packages Applicability,Deploy Content Set,Sensor,Tanium Deploy,Return the applicability statuses for software packages with IDs within the specified bounds
Deploy - Software Packages Applicability Details,Deploy Content Set,Sensor,Tanium Deploy,Return the applicability statuses and reasons for software packages
Deploy - Software Packages Gallery Applicability,Deploy Content Set,Sensor,Tanium Deploy,Return the applicability statuses for software packages in the Deploy software packages gallery
Deploy - Software Packages Gallery Applicability Details,Deploy Content Set,Sensor,Tanium Deploy,Return the applicability details for software packages in the Deploy software packages gallery
Deploy - Windows Upgrade Ready,Deploy Content Set,Sensor,Tanium Deploy,"Returns ""True"", ""False"", or ""N/A (No Scan Data)"" based on the scan results scan results from the Windows Upgrade Phase 1 and Phase 2 packages. For more information, see https://docs.tanium.com/deploy/deploy/use_case_managing_windows_upgrades.html"
Deploy - Windows Upgrade Scan Details,Deploy Content Set,Sensor,Tanium Deploy,"Returns detailed data from the Windows Upgrade Phase 1 and 2 scan results. For more information, see https://docs.tanium.com/deploy/deploy/use_case_managing_windows_upgrades.html"
Deploy - Windows Upgrade Scan Results,Deploy Content Set,Sensor,Tanium Deploy,"Returns basic data from the Windows Upgrade Phase 1 and 2 scan results. For more information, see https://docs.tanium.com/deploy/deploy/use_case_managing_windows_upgrades.html"
Detect Running RMM via Named Pipes,Default,Sensor,Tanium Emerging Issues Content,"Detects selected, potential Remote Management and Monitoring apps through the presence of specific named pipes. On Windows, Named Pipes are a form of inter-process communication, either locally or remote. Pipe names are unique. Pipes can allow un-related processes to share communications."
DeviceGuard Status,Default,Sensor,Tanium Benchmark,"A sensor to determine if an endpoint is actively running DeviceGuard or is configured to run DeviceGuard, and whether or not Code Integrity Policy enforcement is configured. Requires Windows 10 or Server 2016."
DHCP Enabled?,Core Content,Sensor,Tanium Core Content,"Whether or not a machine has a network adapter set to DHCP. Note, a machine may have multiple active adapters and may return multiple lines. If a machine has multiple adapters on DHCP, TRUE is returned only once."
"Example: TRUE, FALSE",,,,
DHCP Server,Core Content,Sensor,Tanium Core Content,"The addresses of the configured DHCP servers, If a machine is on DHCP."
Example: 192.168.1.1,,,,
Direct Connect - Connection Configuration,Direct Connect,Sensor,Tanium Direct Connect,Obtains current Direct Connect configuration
Direct Connect - Connection Status,Direct Connect,Sensor,Tanium Direct Connect,Get Direct Connect connection status
Direct Connect - Endpoint UUID,Direct Connect,Sensor,Tanium Direct Connect,Obtains current Direct Connect endpoint UUID
Disabled Visual Studio Code Extensions,Default,Sensor,Tanium Emerging Issues Content,"Returns all VS Code extensions in a disabled state. If an extension is not listed by this sensor but is reported by ""Visual Studio Code Extensions"" sensor, it is installed and enabled."
Discover - Endpoint within Network Range,Discover Content,Sensor,Tanium Discover,"Reports if endpoint is within the specified ranges. If True, endpoint is included within the ranges. If False, endpoint is excluded or not included by the parameters."
Discover - Installed Npcap Version,Discover Content,Sensor,Tanium Discover,"Reports Npcap version information, including the installed version, if the installed version was installed by Tanium, the last version that Tanium installed, and Npcap version put on the endpoint by the Discover - Install Npcap package if it exists."
Discover - Is Nmap Required,Discover Content,Sensor,Tanium Discover,Reports whether the endpoint needs to have Nmap available for running Discover scans.
Discover - Is Unmanageable,Discover Content,Virtual Sensor,Discover Content,
Discover - Network Adapters Include IPv6,Discover Content,Sensor,Tanium Discover,Returns a list of network adapter addresses. Example: 192.168.0.1|01-0C-03-4D-25-D8 or 2001:1002:1003:1004:1005:1006:1007:1008|01-0C-03-4D-25-D8
Discover - Profile Diagnostics,Discover Content,Sensor,Tanium Discover,Retrieves Discover profile diagnostics (tuples consisting of a profile ID and an error message).
"Example: 14,TOO_MANY_SCANS",,,,
"27,NO_PROFILE",,,,
Discover - Required Npcap Version,Discover Content,Sensor,Tanium Discover,"Reports ""Latest Tanium Version"" if NPCAP is necessary on the endpoint."
Discover - Scan Metrics,Discover Content,Sensor,Tanium Discover,Displays scan metrics gathered from Discover Profile Scans.
Discover - TCP Ports Include IPv6,Discover Content,Sensor,Tanium Discover,Returns the list of open TCP ports
Discover - Unmanaged Assets Include IPv6,Discover Content,Sensor,Tanium Discover,"IP addresses of machines (both IPv4 and IPv6) in the network that do not have the Tanium Client running. When possible, unmanaged assets will return the IP address, the machine name, and the MAC address."
"Example: ndp | 1234:5678::abcd | my-machine-name | 00-22-9a-3e-91-5f | VMWare | windows | 22,135,443 | 7.x",,,,
Discover Label,Discover Content,Virtual Sensor,Discover Content,
Discover Last Scan Range,Discover Content,Sensor,Tanium Discover,Displays the last scan range for Ping and Nmap.
Discover Location,Discover Content,Virtual Sensor,Discover Content,
Discover Method,Discover Content,Virtual Sensor,Discover Content,
Discover Profile,Discover Content,Virtual Sensor,Discover Content,
Discover Satellite,Discover Content,Virtual Sensor,Discover Content,
Discover Scan Range,Discover Content,Sensor,Tanium Discover,"Useful in troubleshooting, this sensor will return the range of IP addresses that each endpoint will be scanning (for Windows, Mac and Linux only). Example: 10.10.10.1-10|10.10.10.11-11|Backward"
Disk Drive Details,Core Content,Sensor,Tanium Core Content,"Multi-column sensor that returns details on the type, size, and free space of all partitions on the machine."
Example:ST3808110AS ATA Device|C:|250G|120G,,,,
Disk Drive Serial Number,Core Content,Sensor,Tanium Core Content,Multi-column sensor that returns Disk drive name and serial number
Example: ST3808110AS ATA Device|SerialNumber,,,,
Disk Drives,Core Content,Sensor,Tanium Core Content,"Descriptions of any installed disk drives, including external or USB drives."
Example: ST3808110AS ATA Device,,,,
Disk Free Space,Core Content,Sensor,Tanium Core Content,The amount of free disk space per drive.
Example: C: 40 GB,,,,
Disk Free Space Below Threshold,Core Content,Sensor,Tanium Core Content,"If a drive has less free space than the configured threshold, the drive and remaining free space is returned. The threshold defaults to 2048 MB and can be altered."
Example: C: 1 GB,,,,
Disk Free Space Status,Core Content,Sensor,Tanium Core Content,"The drive name, percentage of available free space, and status (okay, reduced, low, and critical). The thresholds may be specified as numeric values, or as a percentage of disk size if the 'Evaluate as percentage' option is selected."
Example: /dev/disk1s5 5 low,,,,
Disk IOPS,Core Content,Sensor,Tanium Core Content,Returns the current total number of disk IOPS currently occurring
Example: 86,,,,
Disk Total Byte Count,Core Content,Sensor,Tanium Core Content,"The total amount of disk space per endpoint, rounded to three significant figures"
Example: 2680000000,,,,
Disk Total Size of System Drive,Core Content,Sensor,Tanium Core Content,The amount of total disk space on the main system drive.
Example: C: 100 GB,,,,
Disk Total Space,Core Content,Sensor,Tanium Core Content,The amount of total disk space per drive.
Example: C: 100 GB,,,,
Disk Type of C:,Core Content,Sensor,Tanium Core Content,File system type of the C drive.
Example: NTFS,,,,
Disk Used Percentage,Core Content,Sensor,Tanium Core Content,The percentage of used disk space per partition.
Example: C: 24%,,,,
Disk Used Space,Core Content,Sensor,Tanium Core Content,The amount of used disk space per partition.
Example: C: 40 GB,,,,
DLL Load Order Hijacking Search,Incident Response,Sensor,Tanium Threat Response,"Searches for instances where DLL search order hijacking might have occurred in currently running processes. False positives are possible, so you must manually verify the results."
DNS Resolver Cache CNames,Incident Response,Sensor,Tanium Threat Response,Returns the DNS resolver cache entries for CNAME records.
Example: www.mycompany.com|www.mycompany.com.vgtf.net,,,,
DNS Resolver Cache Hosts,Incident Response,Sensor,Tanium Threat Response,Returns the DNS resolver cache entries for IPv4 addresses.
Example: ads.mycompany.com|157.166.226.208,,,,
DNS Resolver Misses,Incident Response,Sensor,Tanium Threat Response,Returns the DNS resolver cache entries for DNS records that were not found.
Example: www.mycompany.com,,,,
DNS Server,Base,Sensor,Tanium Default Content,Addresses of any configured DNS servers for active network adapters.
"Example: 192.168.1.1, 8.8.8.8",,,,
Domain Controller SYSVOL Size,Core Content,Sensor,Tanium Core Content,Returns the SYSVOL size on Domain Controllers
Example: 2.2 GB,,,,
Domain Member,Base,Sensor,Tanium Default Content,Returns true if the machine is part of an Active Directory domain.
"Example: TRUE, FALSE",,,,
Domain Name,Base,Sensor,Tanium Default Content,The domain name (if any) that the computer is joined to or configured for.
Example: intra.company.com,,,,
Domain Role,Core Content,Sensor,Tanium Core Content,Returns the Active Directory domain role
Example: Primary Domain Controller,,,,
Download Statuses,Reserved,Sensor,Tanium Default Content,The recorded state of each download a client has made recently in the form of hash:completion percentage.
Example: 05839407baccdfccfd8e2c1ffc0ff27541cc053d15b52cfd4ed904510e59b428:100,,,,
Driver Details,Core Content,Sensor,Tanium Core Content,Return details about loaded drivers
Example:,,,,
WIMMount|Stopped|C:\Windows\system32\drivers\wimmount.sys|6.3.9600.16384,,,,
Driver Details with Hash,Incident Response,Sensor,Tanium Threat Response,"Retrieves information about loaded device drivers, including a hash of each driver file."
Edge Extensions,Core Content,Sensor,Tanium Core Content,Returns installed Extensions based on an enumeration of each users profile. Only searches local profiles.
Edge Extensions Summary,Core Content,Sensor,Tanium Core Content,Returns distinct list of installed Extensions (including extension ID) based on an enumeration of each users profile. Only searches local profiles.
EICAR AV Exclusions Check,AntiVirus,Sensor,Tanium Core EICAR Content,"Returns the details from running the ""Write EICAR File"" Package."
Check Name|Check Result,,,,
Example:,,,,
Expected Tanium Client result|Pass,,,,
EID First Seen,Tanium Data Service,Virtual Sensor,Tanium Data Service,
EID Last Changed,Tanium Data Service,Virtual Sensor,Tanium Data Service,
EID Last Seen,Tanium Data Service,Virtual Sensor,Tanium Data Service,
Elevated Privileges,Incident Response,Sensor,Tanium Threat Response,Retrieves information about attempts to elevate user privileges.
Elevated Users,Incident Response,Sensor,Tanium Threat Response,"Retrieves information about users with elevated privileges, such as users logged in as root."
End-User Notifications - Is Self Service Enabled,End-User Notifications,Sensor,Tanium End-User Notifications,Reports whether the targeted profile enables End-User Self Service.
End-User Notifications - Mac OS Version,End-User Notifications,Sensor,Tanium End-User Notifications,Return the operating system version of a Mac
End-User Self Service - Is Self Service Tool Installed,End-User Self Service,Sensor,"Tanium End-User Notifications, Tanium Patch",Returns a True/False answer indicating whether the Self Service tool is installed.
End-User Self Service - Mac OS Version,End-User Self Service,Sensor,"Tanium Deploy, Tanium End-User Notifications, Tanium Patch",Return the operating system version of a Mac
Endpoint Configuration - Change Management Status,Endpoint Configuration,Sensor,Tanium Endpoint Configuration,Retrieves Endpoint Change Management Upgrade Ring and Toolset Manifest version.
Endpoint Configuration - Manifest Metadata,Endpoint Configuration,Sensor,Tanium Endpoint Configuration,"Retrieves Endpoint Configuration manifest metadata from each endpoint, including manifest revision number and the service UUID from which the manifest originated."
Endpoint Configuration - Tools Retry Status,Endpoint Configuration,Sensor,Tanium Endpoint Configuration,Retrieves Endpoint Configuration tools retry status from each endpoint.
Endpoint Configuration - Tools Status,Endpoint Configuration,Sensor,Tanium Endpoint Configuration,"Retrieves Endpoint Configuration tools information from each endpoint, including installed and targeted versions, as well as information about the status of each tool."
Endpoint Configuration - Tools Status Details,Endpoint Configuration,Sensor,Tanium Endpoint Configuration,"Retrieves Endpoint Configuration tools information from each endpoint, including installed and targeted versions, as well as detailed information about the status of each tool."
Endpoint Configuration - Tools Status Summary,Endpoint Configuration,Sensor,Tanium Endpoint Configuration,"Retrieves Endpoint Configuration tools information from each endpoint, summarized to a single status."
"If any tools are errored, the result is Error.",,,,
"If any installed tool version is less than the targeted version, the result is In Progress.",,,,
"If any installed tool version is greater than the targeted version, the result is Other.",,,,
"If all tools are installed as expected, the result is Ok.",,,,
Other may also indicate an unknown state.,,,,
Endpoint Configuration - Tools Status Summary Per Tool,Endpoint Configuration,Sensor,Tanium Endpoint Configuration,"Retrieves Endpoint Configuration tools information from each endpoint, with a summarized status per tool"
Endpoint Criticality,Criticality,Virtual Sensor,Criticality,"Returns the number of endpoints with each endpoint criticality. Criticalities are listed by their multiplier. Low = 1, Medium = 1.33, High = 1.67, Critical = 2."
Endpoint Criticality with Level,Criticality,Virtual Sensor,Criticality,Returns the number of endpoints with each endpoint criticality value and text.
Endpoint Fingerprint,Base,Sensor,"Tanium Default Content, Tanium TDS","Endpoint Fingerprint returns a unique identifier based, where possible, on something more-or-less unique to the hardware."
"This might be the BIOS Serial Number, MAC Address or some manufacturer created GUID; or a generated GUID or or timestamp if hardware based",,,,
values are not available.,,,,
Endpoint ID,Tanium Data Service,Virtual Sensor,Tanium Data Service,
Enforce - Admission Enforcement Count,Enforce Global Objects,Sensor,Tanium Enforce,Reports the count of enforced admission policies on the Kubernetes cluster.
Enforce - Admission Violations,Enforce Global Objects,Sensor,Tanium Enforce,Reports the Enforce Kubernetes admission violations.
Enforce - Admission Violations Count,Enforce Global Objects,Sensor,Tanium Enforce,Reports the count of Enforce Kubernetes admission violations.
Enforce - Anti-Malware Definition Outdated,Enforce Windows,Sensor,Tanium Enforce,Reports the current Windows Anti-malware definition version installed on the computer is out of date.
Enforce - Anti-Malware Definition Version,Enforce Windows,Sensor,Tanium Enforce,Reports the current Windows Anti-malware definition version installed on the computer.
Enforce - Anti-Malware Engine Version,Enforce Windows,Sensor,Tanium Enforce,Reports the current Windows Antimalware engine version installed on the computer.
Enforce - Anti-Malware Threat Counts Last X Days,Enforce Windows,Sensor,Tanium Enforce,"Given a number of days in the past, this sensor reports all anti-malware threat counts since that date."
Enforce - Anti-Malware Threat Details,Enforce Windows,Sensor,Tanium Enforce,"Reports all anti-malware threats along with detection date, process name, and file paths."
Enforce - Anti-Malware Threats Last X Days,Enforce Windows,Sensor,Tanium Enforce,"Given a number of days in the past, this sensor reports all anti-malware threats since that date."
Enforce - AppLocker Threats Last X Days,Enforce Windows,Sensor,Tanium Enforce,"Given a number of days in the past, this sensor reports all AppLocker events since that date."
Enforce - BitLocker Encryption Status,Enforce Windows,Sensor,Tanium Enforce,Reports BitLocker encryption status per encryptable drive.
Enforce - BitLocker Protection Status,Enforce Windows,Sensor,Tanium Enforce,Reports BitLocker protection status per encryptable drive.
Enforce - Can Remove Quarantine By File Path,Enforce Windows,Sensor,Tanium Enforce,"Reports ""Yes"" if the endpoint supports restoring an individual file path from quarantine."
Enforce - Coverage Status,Enforce Global Objects,Sensor,Tanium Enforce,"Returns ""Optimal"" if Enforce is installed and running, ""Needs Attention"" if Enforce is not installed or is not healthy, ""Unsupported"" if the operating system is not supported."
Enforce - Daily Stream Stats,Enforce Global Objects,Sensor,Tanium Enforce,"This sensor is used to collect the statistics recorded for Stream. The results are reported as a RFC 3339 date and the total bytes transferred for that date. The bytes transferred are grouped into the following buckets: ""0 B"", ""<= 10 MB"", ""<= 50 MB"", ""<= 100 MB"", ""<= 200 MB"", ""<= 1 GB"", ""1 GB+""."
Enforce - Defender Platform Version,Enforce Windows,Sensor,Tanium Enforce,Reports Defender Platform Version
Enforce - Device Setup Classes,Enforce Windows,Sensor,Tanium Enforce,Lists all device setup classes.
Enforce - Diagnostic - Applied Machine Policies,Enforce Global Objects,Sensor,Tanium Enforce,Returns status of applied machine policies. Specifically for small scale diagnostics.
Enforce - Diagnostic - Applied Policy Settings,Enforce Windows,Sensor,Tanium Enforce,Returns status of applied policy settings. Specifically for small scale diagnostics.
Enforce - Diagnostic - AppLocker Threat Details Last X Days,Enforce Windows,Sensor,Tanium Enforce,"Given a number of days in the past, this sensor reports all AppLocker events with additional details since that date. Specifically for small scale diagnostics."
Enforce - FileVault Encryption Status,Enforce Global Objects,Sensor,Tanium Enforce,Reports endpoint encryption status for FileVault on Mac.
Enforce - Firewall Rules [Linux],Enforce Linux,Sensor,Tanium Enforce,Reports all configured firewall rules on linux endpoints.
Enforce - Firewall Rules [Windows],Enforce Windows,Sensor,Tanium Enforce,Reports all configured firewall rules.
Enforce - Get Admission Enforcements,Enforce Global Objects,Sensor,Tanium Enforce,List the admission enforcements on a cluster.
Enforce - Has Admission Enforcement,Enforce Global Objects,Sensor,Tanium Enforce,Reports whether a Kubernetes admission policy is enforced.
